fan_id,city,age_band,discovery_channel,months_since_discovery,monthly_streams,catalog_depth_pct,skip_rate,playlist_adds,saves_library,follows_socials,social_engagements_90d,on_mailing_list,email_open_rate,attended_show,shared_track,comments_dms,became_supporter,supporter_revenue_12m
F200018,Barcelona,30-39,Friend shared,2.9,3,19.0,0.427,2,1,0,0,0,0.0,0,0,0,0,0.0
F200019,Zurich,30-39,Friend shared,1.0,8,13.0,0.344,1,0,0,0,0,0.0,0,0,0,0,0.0
F200020,Vilnius,22-29,Live show,13.9,7,25.0,0.346,4,1,0,0,1,0.396,0,0,0,1,109.47
F200021,Lyon,30-39,Editorial playlist,9.7,2,1.0,0.596,0,1,0,0,0,0.0,0,0,0,0,0.0
F200022,Other,40-54,Editorial playlist,9.2,17,63.0,0.33,1,1,1,4,0,0.0,0,1,0,0,0.0
F200023,Lisbon,16-21,Another artist's collab,0.5,6,39.0,0.427,2,1,0,0,0,0.0,0,0,0,0,0.0
F200024,Tallinn,30-39,Editorial playlist,4.5,5,40.0,0.373,0,0,1,2,0,0.0,0,0,0,0,0.0
F200025,Munich,16-21,Another artist's collab,2.2,6,1.0,0.58,1,0,0,0,0,0.0,0,0,0,0,0.0
F200026,Manchester,22-29,Short-form video,4.8,7,1.0,0.516,1,0,0,0,0,0.0,0,0,0,0,0.0
F200027,Berlin,16-21,Live show,36.0,6,16.0,0.423,1,0,0,0,0,0.0,0,0,0,0,0.0
F200028,Cologne,30-39,Algorithmic radio,0.5,7,16.0,0.423,1,0,0,0,0,0.0,0,0,0,0,0.0
F200029,Stockholm,16-21,Music blog / press,2.9,4,30.0,0.441,1,0,0,0,0,0.0,0,0,0,0,0.0
F200030,Riga,30-39,Bandcamp browse,16.4,10,5.0,0.236,0,1,0,0,0,0.0,0,0,0,0,0.0
F200031,Other,22-29,Short-form video,1.0,6,37.0,0.35,1,0,0,0,0,0.0,0,0,2,0,0.0
F200032,Paris,22-29,Short-form video,1.3,5,31.0,0.381,0,0,1,2,0,0.0,0,0,0,1,26.19
F200033,London,55+,Friend shared,11.1,1,7.0,0.448,1,0,0,0,0,0.0,0,0,0,0,0.0
F200034,Bristol,22-29,Editorial playlist,9.9,17,52.0,0.078,5,0,0,0,1,0.659,1,1,1,1,87.04
F200035,Munich,22-29,Another artist's collab,27.7,12,40.0,0.337,0,1,0,0,0,0.0,0,0,0,0,0.0
F200036,Leipzig,22-29,Editorial playlist,3.9,13,45.0,0.114,2,1,0,0,1,0.622,1,0,0,1,5.85
F200037,Bristol,22-29,Friend shared,1.8,6,21.0,0.509,0,0,0,0,0,0.0,0,0,0,0,0.0
F200038,Amsterdam,30-39,Algorithmic radio,10.8,7,51.0,0.398,2,1,0,0,0,0.0,0,1,0,0,0.0
F200039,Stockholm,16-21,Short-form video,0.5,6,15.0,0.379,0,0,0,0,0,0.0,0,0,0,0,0.0
F200040,London,30-39,Short-form video,11.3,8,37.0,0.284,2,1,1,0,1,0.645,0,0,1,1,15.66
F200041,Barcelona,22-29,Live show,2.7,16,66.0,0.252,1,0,0,0,0,0.0,1,0,2,1,21.92
F200042,Oslo,30-39,Editorial playlist,21.0,28,40.0,0.208,2,0,0,0,0,0.0,0,1,3,0,0.0
F200043,Paris,22-29,Editorial playlist,2.3,3,43.0,0.34,0,0,0,0,0,0.0,0,0,0,0,0.0
F200044,Barcelona,16-21,Editorial playlist,0.7,9,31.0,0.244,3,1,0,0,0,0.0,0,0,3,0,0.0
F200045,Brussels,30-39,Another artist's collab,0.5,6,36.0,0.256,2,1,1,5,0,0.0,0,1,1,1,129.11
F200046,London,16-21,Editorial playlist,21.9,5,42.0,0.24,4,0,0,0,0,0.0,0,0,4,0,0.0
F200047,Utrecht,22-29,Another artist's collab,18.7,8,54.0,0.184,1,1,0,0,0,0.0,0,0,0,0,0.0
F200048,Stockholm,40-54,Editorial playlist,27.5,2,1.0,0.495,0,0,0,0,0,0.0,0,0,0,0,0.0
F200049,Leipzig,40-54,Music blog / press,8.8,1,1.0,0.537,0,0,0,0,0,0.0,0,0,0,0,0.0
F200050,Munich,22-29,Friend shared,23.3,8,41.0,0.365,2,0,1,6,0,0.0,0,0,0,1,55.45
F200051,Berlin,40-54,Short-form video,3.3,5,1.0,0.439,0,0,0,0,0,0.0,0,0,1,0,0.0
F200052,Tallinn,30-39,Live show,1.4,7,15.0,0.379,1,0,0,0,0,0.0,0,0,0,0,0.0
F200053,Stockholm,40-54,Short-form video,3.2,6,26.0,0.385,0,1,0,0,0,0.0,0,0,0,0,0.0
F200054,Oslo,40-54,Short-form video,33.2,21,75.0,0.304,4,1,1,7,0,0.0,0,0,1,0,0.0
F200055,Tallinn,16-21,Algorithmic radio,8.7,8,11.0,0.399,3,0,1,1,0,0.0,0,1,0,0,0.0
F200056,Manchester,40-54,Another artist's collab,0.5,2,1.0,0.362,1,0,0,0,0,0.0,0,0,0,0,0.0
F200057,Prague,16-21,Live show,6.9,3,9.0,0.56,0,0,0,0,0,0.0,0,0,0,0,0.0
F200058,Leipzig,22-29,Editorial playlist,17.1,3,22.0,0.306,0,0,0,0,0,0.0,0,0,2,0,0.0
F200059,Leipzig,22-29,Algorithmic radio,1.0,4,31.0,0.368,0,1,0,0,0,0.0,0,0,1,0,0.0
F200060,Stockholm,22-29,Friend shared,12.8,4,3.0,0.411,1,0,0,0,0,0.0,0,0,0,0,0.0
F200061,Bristol,22-29,Music blog / press,1.6,11,16.0,0.413,0,0,1,4,0,0.0,0,0,1,0,0.0
F200062,Prague,16-21,Short-form video,1.8,2,1.0,0.546,0,0,0,0,0,0.0,0,0,0,0,0.0
F200063,Vilnius,40-54,Algorithmic radio,30.0,4,1.0,0.361,1,0,0,0,0,0.0,0,0,0,0,0.0
F200064,Zurich,30-39,Live show,6.8,14,50.0,0.113,6,1,0,0,1,0.789,0,0,0,1,24.58
F200065,Krakow,22-29,Editorial playlist,0.5,4,1.0,0.409,1,0,0,0,0,0.0,0,0,0,0,0.0
F200066,Krakow,30-39,Algorithmic radio,12.1,6,16.0,0.587,0,0,0,0,0,0.0,0,0,0,0,0.0
F200067,Paris,40-54,Short-form video,3.7,8,24.0,0.316,0,1,0,0,0,0.0,0,0,0,0,0.0
F200068,Berlin,22-29,Editorial playlist,14.0,20,77.0,0.168,3,0,1,4,0,0.0,0,0,2,0,0.0
F200069,London,22-29,Algorithmic radio,18.0,23,45.0,0.292,1,1,0,0,1,0.788,0,0,1,1,104.93
F200070,Amsterdam,40-54,Editorial playlist,6.9,14,8.0,0.316,2,1,0,0,0,0.0,0,1,0,0,0.0
F200071,London,30-39,Editorial playlist,25.1,1,3.0,0.474,1,0,1,1,0,0.0,0,0,0,0,0.0
F200072,Madrid,22-29,Editorial playlist,27.3,7,9.0,0.393,1,0,0,0,0,0.0,0,0,0,0,0.0
F200073,Amsterdam,16-21,Editorial playlist,4.5,4,1.0,0.409,2,0,0,0,0,0.0,0,0,0,0,0.0
F200074,Berlin,55+,Friend shared,5.9,42,97.0,0.102,9,1,1,10,0,0.0,0,1,3,1,5.0
F200075,Utrecht,22-29,Bandcamp browse,0.5,6,42.0,0.399,1,0,1,1,0,0.0,0,0,1,0,0.0
F200076,Paris,40-54,Editorial playlist,3.1,3,14.0,0.51,1,1,0,0,0,0.0,1,0,1,0,0.0
F200077,Copenhagen,30-39,Music blog / press,0.5,4,27.0,0.388,1,0,0,0,0,0.0,0,0,1,0,0.0
F200078,Krakow,22-29,Live show,15.0,16,69.0,0.167,4,1,0,0,0,0.0,1,1,0,0,0.0
F200079,Tallinn,40-54,Editorial playlist,2.8,2,5.0,0.444,0,0,0,0,0,0.0,0,0,1,0,0.0
F200080,Stockholm,22-29,Algorithmic radio,6.1,7,32.0,0.436,1,1,0,0,0,0.0,1,0,1,0,0.0
F200081,London,30-39,Editorial playlist,2.6,8,24.0,0.333,4,0,1,3,0,0.0,0,0,0,0,0.0
F200082,Barcelona,22-29,Short-form video,0.7,4,24.0,0.435,2,0,0,0,0,0.0,0,0,0,0,0.0
F200083,Cologne,40-54,Short-form video,4.1,5,37.0,0.426,0,0,0,0,1,0.55,1,0,1,0,0.0
F200084,Berlin,22-29,Algorithmic radio,10.1,4,24.0,0.407,2,0,0,0,0,0.0,0,0,0,0,0.0
F200085,Hamburg,22-29,Editorial playlist,10.1,7,38.0,0.302,1,1,0,0,0,0.0,0,1,2,0,0.0
F200086,Helsinki,30-39,Editorial playlist,4.9,14,33.0,0.252,2,0,0,0,1,0.56,0,1,2,0,0.0
F200087,Manchester,40-54,Live show,0.8,7,1.0,0.555,0,0,1,0,0,0.0,0,0,0,0,0.0
F200088,Cologne,40-54,Editorial playlist,6.5,5,16.0,0.512,3,0,0,0,0,0.0,0,0,0,0,0.0
F200089,Glasgow,22-29,Friend shared,0.5,3,1.0,0.519,0,0,0,0,0,0.0,0,0,0,0,0.0
F200090,Cologne,22-29,Friend shared,5.1,7,30.0,0.275,2,0,0,0,0,0.0,0,0,1,0,0.0
F200091,Oslo,16-21,Live show,24.8,3,21.0,0.535,1,0,0,0,0,0.0,0,0,0,1,57.45
F200092,Manchester,16-21,Editorial playlist,6.2,9,28.0,0.374,1,1,1,0,0,0.0,0,1,0,0,0.0
F200093,London,40-54,Algorithmic radio,16.2,21,70.0,0.171,4,0,1,6,0,0.0,0,0,2,0,0.0
F200094,Paris,30-39,Friend shared,13.9,13,44.0,0.146,3,0,0,0,0,0.0,0,1,0,1,10.71
F200095,Zurich,30-39,Short-form video,28.6,5,28.0,0.52,2,0,0,0,0,0.0,0,0,0,0,0.0
F200096,London,30-39,Friend shared,9.0,10,37.0,0.3,2,1,0,0,0,0.0,0,0,2,0,0.0
F200097,Hamburg,16-21,Algorithmic radio,7.6,6,10.0,0.489,2,0,0,0,0,0.0,1,0,0,0,0.0
F200098,Leipzig,22-29,Editorial playlist,1.9,6,46.0,0.328,4,1,0,0,0,0.0,0,0,0,0,0.0
F200099,Other,40-54,Live show,2.2,45,81.0,0.145,7,1,0,0,0,0.0,0,0,7,0,0.0
F200100,Milan,22-29,Friend shared,2.4,6,37.0,0.363,1,1,0,0,0,0.0,1,0,0,0,0.0
F200101,Oslo,30-39,Short-form video,9.7,6,23.0,0.403,0,0,0,0,0,0.0,0,0,0,0,0.0
F200102,Rotterdam,22-29,Live show,13.5,7,28.0,0.357,0,0,0,0,0,0.0,0,0,0,0,0.0
F200103,Other,16-21,Music blog / press,25.2,5,27.0,0.333,2,1,0,0,0,0.0,0,0,0,0,0.0
F200104,Tallinn,22-29,Music blog / press,33.9,1,36.0,0.345,3,1,0,0,0,0.0,0,0,0,0,0.0
F200105,Helsinki,16-21,Algorithmic radio,7.4,4,15.0,0.429,0,0,0,0,0,0.0,0,0,1,0,0.0
F200106,Manchester,30-39,Editorial playlist,22.5,5,13.0,0.403,1,0,0,0,0,0.0,0,0,1,0,0.0
F200107,Rotterdam,55+,Bandcamp browse,5.2,0,8.0,0.614,0,0,0,0,0,0.0,0,0,0,0,0.0
F200108,Hamburg,22-29,Short-form video,4.9,13,47.0,0.442,6,0,0,0,0,0.0,0,1,0,0,0.0
F200109,Milan,40-54,Another artist's collab,0.5,10,55.0,0.266,3,1,1,1,0,0.0,0,0,2,1,13.59
F200110,Manchester,16-21,Friend shared,15.2,8,30.0,0.308,4,0,0,0,0,0.0,1,1,0,0,0.0
F200111,Munich,22-29,Another artist's collab,15.4,4,10.0,0.289,1,1,0,0,0,0.0,0,0,1,0,0.0
F200112,Paris,30-39,Editorial playlist,12.1,7,45.0,0.48,1,1,0,0,0,0.0,0,1,0,0,0.0
F200113,Prague,22-29,Friend shared,5.4,10,21.0,0.227,3,0,0,0,0,0.0,0,1,0,0,0.0
F200114,Munich,16-21,Friend shared,0.5,4,27.0,0.423,2,0,1,3,0,0.0,0,0,0,0,0.0
F200115,Madrid,22-29,Editorial playlist,5.2,10,55.0,0.301,2,1,0,0,1,0.575,0,0,2,1,22.63
F200116,Vilnius,16-21,Editorial playlist,1.6,16,28.0,0.229,0,0,0,0,1,0.533,0,0,0,0,0.0
F200117,Helsinki,40-54,Editorial playlist,15.8,14,33.0,0.144,6,1,1,11,0,0.0,1,0,1,0,0.0
F200118,London,16-21,Editorial playlist,36.0,9,46.0,0.466,0,1,0,0,0,0.0,0,0,1,0,0.0
F200119,Zurich,16-21,Another artist's collab,6.9,3,1.0,0.514,0,0,0,0,0,0.0,0,0,0,0,0.0
F200120,Prague,30-39,Another artist's collab,4.1,1,1.0,0.673,0,0,0,0,0,0.0,0,0,0,0,0.0
F200121,Copenhagen,22-29,Bandcamp browse,13.3,4,31.0,0.636,0,0,0,0,0,0.0,0,0,0,1,43.32
F200122,Hamburg,22-29,Another artist's collab,3.5,3,24.0,0.483,0,0,1,1,0,0.0,0,0,0,1,25.81
F200123,London,22-29,Short-form video,20.3,5,19.0,0.374,1,0,0,0,0,0.0,0,0,0,0,0.0
F200124,Berlin,40-54,Another artist's collab,6.8,2,2.0,0.493,2,0,0,0,0,0.0,0,0,0,0,0.0
F200125,Glasgow,40-54,Editorial playlist,15.8,1,16.0,0.496,0,1,0,0,0,0.0,0,0,0,0,0.0
F200126,Paris,40-54,Algorithmic radio,1.3,0,1.0,0.556,0,0,0,0,0,0.0,0,0,0,0,0.0
F200127,Leipzig,22-29,Music blog / press,1.4,2,7.0,0.513,0,0,0,0,0,0.0,0,0,0,0,0.0
F200128,Hamburg,22-29,Friend shared,3.0,3,32.0,0.472,0,0,0,0,0,0.0,0,0,0,0,0.0
F200129,Prague,40-54,Short-form video,5.7,2,11.0,0.455,1,0,0,0,0,0.0,0,0,0,0,0.0
F200130,Cologne,40-54,Friend shared,3.1,7,40.0,0.323,3,1,0,0,0,0.0,0,0,0,0,0.0
F200131,Milan,22-29,Algorithmic radio,5.7,4,2.0,0.416,1,0,0,0,0,0.0,0,0,0,0,0.0
F200132,Prague,30-39,Algorithmic radio,29.0,0,1.0,0.509,0,0,0,0,0,0.0,0,0,0,0,0.0
F200133,Lyon,22-29,Short-form video,16.9,8,35.0,0.47,1,1,0,0,0,0.0,0,0,1,0,0.0
F200134,Prague,16-21,Friend shared,11.4,11,48.0,0.302,3,1,1,6,0,0.0,0,0,2,0,0.0
F200135,Berlin,22-29,Algorithmic radio,5.5,0,1.0,0.512,0,0,0,0,0,0.0,0,0,0,0,0.0
F200136,Other,40-54,Friend shared,5.9,12,68.0,0.091,1,0,0,0,0,0.0,0,0,1,1,18.54
F200137,Bristol,40-54,Algorithmic radio,0.9,6,33.0,0.372,5,0,1,2,0,0.0,0,0,1,0,0.0
F200138,Tallinn,16-21,Friend shared,1.6,13,47.0,0.147,5,0,0,0,0,0.0,0,1,2,0,0.0
F200139,Hamburg,22-29,Live show,3.5,5,30.0,0.356,2,0,1,5,0,0.0,0,0,0,0,0.0
F200140,Bristol,16-21,Algorithmic radio,7.6,4,24.0,0.439,2,0,0,0,0,0.0,0,0,0,0,0.0
F200141,Glasgow,22-29,Another artist's collab,0.9,5,25.0,0.404,1,1,0,0,0,0.0,0,0,0,0,0.0
F200142,Dublin,22-29,Friend shared,0.7,7,19.0,0.465,3,0,0,0,0,0.0,0,0,1,0,0.0
F200143,Prague,16-21,Another artist's collab,11.3,11,41.0,0.213,2,1,1,1,0,0.0,0,0,1,0,0.0
F200144,Bristol,40-54,Music blog / press,4.1,4,29.0,0.438,0,0,0,0,0,0.0,0,0,0,0,0.0
F200145,Rotterdam,40-54,Bandcamp browse,18.4,7,39.0,0.128,0,0,0,0,0,0.0,0,1,0,0,0.0
F200146,Paris,40-54,Short-form video,11.1,11,71.0,0.14,0,0,0,0,0,0.0,0,0,1,0,0.0
F200147,Warsaw,30-39,Friend shared,8.3,7,36.0,0.497,0,1,0,0,0,0.0,0,1,0,0,0.0
F200148,London,30-39,Friend shared,15.7,6,23.0,0.554,2,1,0,0,0,0.0,1,0,0,0,0.0
F200149,Berlin,30-39,Friend shared,2.2,15,52.0,0.324,2,0,1,2,0,0.0,0,0,0,1,5.0
F200150,Barcelona,30-39,Editorial playlist,5.1,5,1.0,0.429,4,0,0,0,0,0.0,0,0,0,0,0.0
F200151,Lisbon,16-21,Editorial playlist,8.7,1,1.0,0.563,1,0,0,0,0,0.0,0,1,0,0,0.0
F200152,Leipzig,16-21,Editorial playlist,4.0,4,1.0,0.462,0,0,0,0,0,0.0,0,0,0,0,0.0
F200153,Krakow,22-29,Short-form video,36.0,3,26.0,0.405,1,0,0,0,0,0.0,0,0,0,0,0.0
F200154,Hamburg,30-39,Editorial playlist,4.8,6,49.0,0.455,0,0,0,0,0,0.0,0,0,0,0,0.0
F200155,Stockholm,16-21,Friend shared,0.5,4,1.0,0.397,1,0,0,0,0,0.0,0,0,1,0,0.0
F200156,Utrecht,30-39,Editorial playlist,5.5,4,22.0,0.559,0,1,0,0,0,0.0,0,0,0,0,0.0
F200157,Copenhagen,40-54,Editorial playlist,2.7,13,48.0,0.327,2,1,0,0,0,0.0,0,1,2,1,23.38
F200158,Helsinki,16-21,Friend shared,14.1,3,73.0,0.286,2,0,1,2,0,0.0,0,1,0,0,0.0
F200159,Vilnius,22-29,Music blog / press,5.9,11,39.0,0.161,2,0,1,4,0,0.0,0,0,1,0,0.0
F200160,Hamburg,55+,Algorithmic radio,36.0,7,31.0,0.388,2,1,0,0,0,0.0,0,0,0,0,0.0
F200161,Milan,22-29,Bandcamp browse,23.4,3,1.0,0.489,1,0,0,0,0,0.0,0,0,0,0,0.0
F200162,Amsterdam,16-21,Editorial playlist,5.2,22,69.0,0.113,1,0,0,0,1,0.695,1,1,1,0,0.0
F200163,Berlin,30-39,Friend shared,0.5,10,52.0,0.222,2,0,0,0,0,0.0,0,0,1,1,15.52
F200164,Krakow,55+,Editorial playlist,36.0,2,9.0,0.492,0,1,0,0,0,0.0,0,0,0,0,0.0
F200165,London,22-29,Algorithmic radio,3.5,12,75.0,0.333,1,1,0,0,0,0.0,0,0,1,0,0.0
F200166,Barcelona,22-29,Editorial playlist,5.6,4,17.0,0.392,0,1,0,0,0,0.0,0,0,1,0,0.0
F200167,Brussels,22-29,Editorial playlist,7.6,23,57.0,0.216,3,0,0,0,1,0.656,0,0,0,0,0.0
F200168,Paris,22-29,Short-form video,26.0,6,63.0,0.28,0,0,0,0,0,0.0,0,1,0,0,0.0
F200169,Other,40-54,Live show,18.7,3,15.0,0.341,0,0,0,0,0,0.0,0,0,0,0,0.0
F200170,Paris,55+,Editorial playlist,16.7,9,29.0,0.486,2,1,1,2,0,0.0,0,0,1,0,0.0
F200171,Warsaw,40-54,Bandcamp browse,33.4,12,36.0,0.324,4,0,1,2,0,0.0,0,0,2,0,0.0
F200172,Rotterdam,22-29,Live show,4.4,3,18.0,0.321,1,1,1,0,0,0.0,0,0,0,0,0.0
F200173,Dublin,30-39,Algorithmic radio,22.9,5,39.0,0.38,0,0,0,0,0,0.0,0,1,1,0,0.0
F200174,Cologne,30-39,Algorithmic radio,13.1,3,17.0,0.481,0,0,0,0,0,0.0,0,0,0,0,0.0
F200175,Berlin,22-29,Algorithmic radio,0.5,7,36.0,0.255,2,0,1,2,0,0.0,0,0,0,0,0.0
F200176,London,30-39,Short-form video,12.7,1,9.0,0.396,2,0,0,0,0,0.0,1,0,2,0,0.0
F200177,Other,22-29,Friend shared,9.0,9,52.0,0.417,0,0,0,0,0,0.0,0,0,1,0,0.0
F200178,Lisbon,30-39,Editorial playlist,6.5,18,59.0,0.187,2,0,0,0,0,0.0,0,1,0,0,0.0
F200179,Riga,30-39,Editorial playlist,12.8,7,17.0,0.33,1,0,0,0,0,0.0,0,0,0,0,0.0
F200180,Lisbon,16-21,Algorithmic radio,8.6,10,22.0,0.249,2,1,0,0,0,0.0,0,0,2,0,0.0
F200181,Lisbon,30-39,Algorithmic radio,10.1,5,54.0,0.225,1,1,1,2,0,0.0,0,0,0,0,0.0
F200182,Warsaw,16-21,Friend shared,18.9,3,21.0,0.386,1,1,1,2,0,0.0,0,0,0,0,0.0
F200183,Paris,22-29,Another artist's collab,1.0,4,6.0,0.562,0,0,0,0,0,0.0,0,0,0,0,0.0
F200184,Tallinn,22-29,Algorithmic radio,2.4,20,70.0,0.039,3,0,1,9,0,0.0,0,0,0,0,0.0
F200185,Copenhagen,55+,Algorithmic radio,7.2,3,7.0,0.389,3,1,0,0,0,0.0,0,1,0,0,0.0
F200186,London,22-29,Editorial playlist,7.9,2,20.0,0.48,1,0,1,1,0,0.0,0,0,0,0,0.0
F200187,Hamburg,40-54,Algorithmic radio,8.8,4,33.0,0.326,0,0,1,1,0,0.0,0,0,0,0,0.0
F200188,Riga,22-29,Live show,4.2,6,31.0,0.238,3,0,0,0,1,0.671,0,1,0,0,0.0
F200189,Rotterdam,22-29,Another artist's collab,8.6,5,33.0,0.241,3,0,0,0,0,0.0,0,0,0,0,0.0
F200190,Dublin,22-29,Short-form video,19.0,2,3.0,0.389,0,0,0,0,0,0.0,0,0,0,0,0.0
F200191,Amsterdam,16-21,Editorial playlist,3.0,10,52.0,0.308,1,0,0,0,0,0.0,0,0,0,0,0.0
F200192,Leipzig,40-54,Bandcamp browse,4.0,12,36.0,0.125,1,1,0,0,0,0.0,0,0,0,0,0.0
F200193,Barcelona,22-29,Short-form video,10.3,3,37.0,0.294,1,0,0,0,0,0.0,0,1,1,1,5.0
F200194,Cologne,30-39,Editorial playlist,2.2,2,7.0,0.479,0,1,0,0,0,0.0,0,0,0,0,0.0
F200195,Munich,30-39,Another artist's collab,15.7,4,1.0,0.616,0,1,0,0,0,0.0,0,0,0,0,0.0
F200196,Vienna,22-29,Short-form video,3.4,2,23.0,0.527,0,1,0,0,0,0.0,0,0,1,0,0.0
F200197,Madrid,22-29,Short-form video,15.5,5,56.0,0.285,3,1,0,0,0,0.0,0,0,0,0,0.0
F200198,Munich,22-29,Algorithmic radio,3.6,11,55.0,0.475,2,1,0,0,0,0.0,0,0,0,0,0.0
F200199,Paris,30-39,Editorial playlist,6.4,8,20.0,0.467,2,0,1,1,0,0.0,0,0,0,0,0.0
F200200,Tallinn,40-54,Short-form video,4.9,2,5.0,0.501,1,0,0,0,0,0.0,0,0,0,0,0.0
F200201,Other,30-39,Friend shared,0.5,1,1.0,0.577,3,0,0,0,0,0.0,0,0,0,0,0.0
F200202,Glasgow,16-21,Another artist's collab,11.9,5,14.0,0.492,2,0,0,0,0,0.0,0,0,0,0,0.0
F200203,Leipzig,30-39,Editorial playlist,1.1,7,40.0,0.355,0,0,0,0,0,0.0,0,1,1,0,0.0
F200204,Berlin,30-39,Algorithmic radio,20.1,4,11.0,0.444,2,0,0,0,0,0.0,0,0,0,0,0.0
F200205,Amsterdam,22-29,Short-form video,28.7,13,72.0,0.259,4,1,1,8,0,0.0,1,1,1,1,21.53
F200206,Leipzig,22-29,Friend shared,4.5,2,26.0,0.54,0,0,0,0,0,0.0,0,0,1,0,0.0
F200207,Stockholm,22-29,Algorithmic radio,11.9,1,14.0,0.346,0,0,0,0,0,0.0,0,0,0,0,0.0
F200208,Leipzig,30-39,Short-form video,5.0,6,1.0,0.395,1,0,0,0,0,0.0,0,0,2,0,0.0
F200209,Warsaw,30-39,Short-form video,5.7,8,25.0,0.417,1,0,0,0,0,0.0,0,1,1,0,0.0
F200210,Oslo,22-29,Friend shared,6.5,6,35.0,0.373,0,0,0,0,0,0.0,0,0,1,1,6.38
F200211,Prague,40-54,Algorithmic radio,10.7,4,41.0,0.35,2,1,1,1,0,0.0,0,1,2,0,0.0
F200212,Munich,40-54,Friend shared,0.8,4,40.0,0.385,2,1,0,0,0,0.0,0,0,0,0,0.0
F200213,Brussels,16-21,Friend shared,7.8,10,43.0,0.237,2,0,0,0,0,0.0,0,0,1,0,0.0
F200214,Helsinki,16-21,Short-form video,16.7,9,36.0,0.215,0,0,0,0,0,0.0,0,0,1,0,0.0
F200215,Riga,22-29,Live show,3.1,6,3.0,0.443,1,0,0,0,0,0.0,0,0,0,0,0.0
F200216,Leipzig,30-39,Friend shared,10.3,8,39.0,0.401,1,1,0,0,0,0.0,0,0,0,0,0.0
F200217,Leipzig,16-21,Editorial playlist,4.9,2,1.0,0.624,0,0,0,0,0,0.0,0,0,0,1,26.78
F200218,Dublin,40-54,Editorial playlist,7.4,2,24.0,0.577,0,0,0,0,0,0.0,0,0,0,0,0.0
F200219,London,16-21,Algorithmic radio,7.6,6,36.0,0.083,0,1,1,7,0,0.0,0,0,1,0,0.0
F200220,Paris,30-39,Friend shared,1.6,4,5.0,0.313,1,0,0,0,0,0.0,0,0,1,0,0.0
F200221,Bristol,40-54,Short-form video,3.3,5,11.0,0.419,3,0,0,0,0,0.0,0,0,0,0,0.0
F200222,Stockholm,16-21,Another artist's collab,3.0,7,59.0,0.304,1,1,1,1,0,0.0,0,0,0,1,33.04
F200223,Other,40-54,Friend shared,2.3,6,12.0,0.434,2,0,0,0,0,0.0,0,1,1,0,0.0
F200224,Utrecht,40-54,Short-form video,0.5,12,26.0,0.223,0,1,0,0,0,0.0,0,0,0,0,0.0
F200225,Milan,16-21,Live show,14.8,5,13.0,0.448,0,0,0,0,0,0.0,0,0,2,0,0.0
F200226,Berlin,22-29,Algorithmic radio,14.8,18,68.0,0.294,5,0,0,0,0,0.0,0,0,2,0,0.0
F200227,Krakow,40-54,Friend shared,10.1,4,18.0,0.485,0,0,0,0,0,0.0,0,0,0,0,0.0
